,path,label
8409,data/objonly/02958343_obj/36bc228a8722bf27473f10e6caaeca56.obj,car
7526,data/objonly/02691156_obj/6456e87ff00e31a96efa61580a088aac.obj,airplane
5220,data/objonly/02828884_obj/3ee044d00523169dd4d8765e3910f617.obj,bench
182,data/objonly/04256520_obj/4f0d2de3a60f247662d15c83b2279a53.obj,sofa
1341,data/objonly/04090263_obj/27fc4679ae16edc887ecee1779f8c08.obj,rifle
9245,data/objonly/03636649_obj/5d91d6f6fae09234275d003e423c59ba.obj,lamp
4072,data/objonly/03001627_obj/3316a00869217c2632ed7dae08823495.obj,chair
4813,data/objonly/02828884_obj/7a500a01f5ade316ed98cca8f0ccd5f7.obj,bench
5493,data/objonly/04379243_obj/1ad672c0a138f8ffe286a7dded929c2a.obj,table
2846,data/objonly/03001627_obj/3eb60e6679d1df1dde7eedbb2790491b.obj,chair
8323,data/objonly/02958343_obj/307e83044ed81f6c473f10e6caaeca56.obj,car
6090,data/objonly/04379243_obj/1f3e217cbc871152d7465eca206fda6f.obj,table
5625,data/objonly/04379243_obj/18634e783faca47d668ae11a7db5e82a.obj,table
9904,data/objonly/03636649_obj/8913c3dff1651a316a3d00506cb9ed19.obj,lamp
1115,data/objonly/04256520_obj/581808bf8d8e1d2448eb521885c87e13.obj,sofa
6524,data/objonly/04379243_obj/17e773bf0007544ce76bc197b3a3ffc0.obj,table
3650,data/objonly/03001627_obj/3c83d6ad882270287ad11050da24bb12.obj,chair
8548,data/objonly/02958343_obj/1cff510c0630c3cc673ddeabdcc8c6e.obj,car
6554,data/objonly/04379243_obj/233c497df4d252aea5e91f4d594e20e6.obj,table
273,data/objonly/04256520_obj/27f0c4cde547763ab8a40f9116438027.obj,sofa
1190,data/objonly/04256520_obj/34878cff5db772bad810b14a81e12eca.obj,sofa
6858,data/objonly/02691156_obj/580e54df8765aac1c1ca96a73599ca7e.obj,airplane
9659,data/objonly/03636649_obj/29985e44b73051d923500a5b036df62e.obj,lamp
6432,data/objonly/04379243_obj/31ecf1e704642491ce372179a495fcb.obj,table
5180,data/objonly/02828884_obj/7b7e73cbc821d520f155d75bbf62b80.obj,bench
7180,data/objonly/02691156_obj/4a9d3df03a7d41d77209009cfb89d4bd.obj,airplane
7220,data/objonly/02691156_obj/2a3d485b0214d6a182389daa2190d234.obj,airplane
1893,data/objonly/04090263_obj/282f9e161a0bbf58fe00453e7ccbcad3.obj,rifle
6795,data/objonly/04379243_obj/15f0878e6bd57e6c417da6e71c86659f.obj,table
11059,data/objonly/03636649_obj/b45b40ea1c3a813235836c728d324152.obj,lamp
4572,data/objonly/02828884_obj/8c387d5e8ca71237d2b12aa6a0f050b3.obj,bench
5515,data/objonly/04379243_obj/33b9bc49338800e87dd2ad68f72eb830.obj,table
4886,data/objonly/02828884_obj/32bd91d61ad0824e2729c156998d6717.obj,bench
3256,data/objonly/03001627_obj/2b783fe4230af5436a7b680929b3b0fb.obj,chair
481,data/objonly/04256520_obj/4f6ba19d62789d90d71c0b5c63bf171.obj,sofa
